Version:          1.14.0.16
Settings:         {"StrayFairyMode":"Default","UpdateShopAppearance":true,"AddSongs":true,"SpeedupLabFish":true,"SmallKeyMode":"Default","BossKeyMode":"Default","UserLogicFileName":"","CloseCows":true,"ArrowCycling":true,"CritWiggleDisable":false,"DrawHash":true,"ElegySpeedup":true,"FastPush":true,"IceTrapQuirks":false,"UpdateWorldModels":true,"OcarinaUnderwater":false,"QuestItemStorage":true,"ContinuousDekuHopping":false,"ProgressiveUpgrades":false,"LogicMode":"Casual","EnabledTricks":[],"RandomizeDungeonEntrances":false,"RandomizeEnemies":false,"StartingItemMode":"Random","CustomItemListString":"c073-ffffff80-400000----ff-fe000000--4000-3000000-3000--200--c00008--1c0-6038000-c000400-7fffff-ffffffff-ffffffff-ffffffff-ffffffff-ffdfffff-ffffffff-ffffffff-fe007fff-ffffffff-ffffffff-ffffffff-ffffffff","CustomStartingItemListString":"--1","CustomJunkLocationsString":"--------------------------------","IceTraps":"None","IceTrapAppearance":"MajorItems","DamageMode":"Doom","DamageEffect":"Default","MovementMode":"Default","FloorType":"Default","NutandStickDrops":"Default","ClockSpeed":"Default","HideClock":false,"BlastMaskCooldown":"Default","EnableSunsSong":false,"AllowFierceDeityAnywhere":false,"ByoAmmo":false,"DeathMoonCrash":true,"ShortenCutsceneSettings":{"General":"BlastMaskThief, BoatArchery, FishermanGame, MilkBarPerformance, HungryGoron, TatlInterrupts, FasterBankText, EverythingElse","BossIntros":"Odolwa, Goht, Gyorg, Twinmold, Majora, Wart, IgosDuIkana, Gomess"},"QuickTextEnabled":true,"Character":"LinkMM","GossipHintStyle":"Default","FreeHints":false,"ClearHints":false,"PreventDowngrades":true,"UpdateChests":true,"FixEponaSword":true,"EnablePictoboxSubject":true,"SpeedupBeavers":true,"SpeedupDampe":true,"SpeedupDogRace":true,"SpeedupBank":true}
Seed:             11886250

 Location                                              Item

 Misc
Boss Blue Warp                                     -> Ocean Skulltula Spirit
Starting Heart Container #1                        -> Garo's Mask**
Starting Heart Container #2                        -> Piece of Heart
Starting Item                                      -> Epona's Song**
Starting Shield                                    -> Piece of Heart
Starting Song                                      -> Heart Container
Starting Sword                                     -> Giant's Mask**

 South Clock Town
Clock Tower Entrance                               -> Razor Sword*
Clock Town Scrub Trade                             -> Milk
Postbox                                            -> Snowhead Small Key
South Clock Town Final Day Chest                   -> Great Bay Stray Fairy
South Clock Town Straw Roof Chest                  -> Green Rupee

 North Clock Town
Bombers' Hide and Seek                             -> Red Rupee
Clock Town Map Purchase                            -> Milk
Deku Playground Any Day                            -> Great Bay Boss Key**
Deku Playground Three Days                         -> Milk
Keaton Quiz                                        -> Green Rupee
North Clock Town Keaton Grass                      -> Hero's Shield*
North Clock Town Keaton Grass 2                    -> Purple Rupee
North Clock Town Keaton Grass 3                    -> Ocean Skulltula Spirit
North Clock Town Keaton Grass 4                    -> 30 Arrows
North Clock Town Keaton Grass 5                    -> Silver Rupee
North Clock Town Keaton Grass 6                    -> Red Rupee
North Clock Town Keaton Grass 7                    -> Ocean Skulltula Spirit
North Clock Town Keaton Grass 8                    -> Blue Rupee
North Clock Town Keaton Grass 9                    -> Woodfall Stray Fairy
North Clock Town Tree                              -> Purple Rupee
Old Lady                                           -> Red Rupee
Town Great Fairy                                   -> Red Rupee
Town Great Fairy Non-Human                         -> 10 Deku Nuts

 East Clock Town
Bombers' Hideout Chest                             -> Snowhead Map
East Clock Town Chest                              -> Green Rupee
Gorman                                             -> Great Bay Stray Fairy
Honey and Darling Any Day                          -> Great Bay Stray Fairy
Honey and Darling Three Days                       -> Bomb Bag*
Madame Aroma in Bar                                -> Piece of Heart
Madame Aroma in Office                             -> Red Rupee
Mayor                                              -> Magic Bean*
Milk Bar Chateau                                   -> Snowhead Small Key
Milk Bar Milk                                      -> Ice Arrow**
Postman's Freedom Reward                           -> Blue Rupee
Town Archery #1                                    -> Stone Tower Small Key*
Town Archery #2                                    -> Heart Container
Treasure Chest Game Deku                           -> Blue Rupee
Treasure Chest Game Goron                          -> Woodfall Stray Fairy
Treasure Chest Game Human                          -> Silver Rupee
Treasure Chest Game Zora                           -> Great Bay Stray Fairy

 Stock Pot Inn
Anju and Kafei                                     -> Green Rupee
Grandma Long Story                                 -> Silver Rupee
Grandma Short Story                                -> Swamp Skulltula Spirit
Inn Guest Room Chest                               -> Blue Rupee
Inn Reservation                                    -> Swamp Skulltula Spirit
Inn Staff Room Chest                               -> Extended Magic Power*
Midnight Meeting                                   -> 30 Arrows
Toilet Hand                                        -> Don Gero's Mask

 West Clock Town
All-Night Mask Purchase                            -> Fierce Deity's Mask
Bank Reward #1                                     -> New Wave Bossa Nova**
Bank Reward #2                                     -> Stone Tower Boss Key**
Bank Reward #3                                     -> Purple Rupee
Big Bomb Bag Purchase                              -> Great Bay Stray Fairy
Bomb Bag Purchase                                  -> Red Rupee
Bomb Shop 10 Bombchu                               -> Stone Tower Small Key*
Bomb Shop 10 Bombs                                 -> Woodfall Stray Fairy
Curiosity Shop Blue Rupee                          -> Red Rupee
Curiosity Shop Gold Rupee                          -> Silver Rupee
Curiosity Shop Purple Rupee                        -> Snowhead Stray Fairy*
Curiosity Shop Red Rupee                           -> Great Bay Stray Fairy
Lottery                                            -> Piece of Heart
Postman's Game                                     -> Great Fairy's Mask*
Rosa Sisters                                       -> Swamp Skulltula Spirit
Swordsman's School                                 -> Swamp Skulltula Spirit
Trading Post 10 Deku Nuts                          -> Elegy of Emptiness**
Trading Post 30 Arrows                             -> Blue Rupee
Trading Post 50 Arrows                             -> Blue Rupee
Trading Post Deku Stick                            -> Green Potion
Trading Post Fairy                                 -> Silver Rupee
Trading Post Green Potion                          -> Great Bay Small Key*
Trading Post Hero's Shield                         -> Piece of Heart
Trading Post Red Potion                            -> Woodfall Stray Fairy

 Laundry Pool
Clock Town Stray Fairy                             -> Couple's Mask*
Curiosity Shop Man #1                              -> Green Rupee
Curiosity Shop Man #2                              -> Ocean Skulltula Spirit
Guru Guru                                          -> Snowhead Boss Key**
Kafei                                              -> Purple Rupee

 Termina Field
Astronomy Telescope                                -> Great Bay Stray Fairy
Bio Baba Grotto                                    -> Red Rupee
Business Scrub Purchase                            -> Piece of Heart
Dodongo Grotto                                     -> Snowhead Stray Fairy*
Gossip Stones                                      -> Swamp Skulltula Spirit
Kamaro                                             -> Piece of Heart
Peahat Grotto                                      -> Swamp Skulltula Spirit
Takkuri                                            -> Map of Romani Ranch
Termina Field Grass Chest                          -> 10 Bombchu
Termina Field Grass Grotto                         -> Bottle with Chateau Romani*
Termina Field Observatory Soft Soil                -> Piece of Heart
Termina Field Pillar Grotto                        -> Snowhead Stray Fairy*
Termina Field Pillar Soft Soil                     -> Swamp Skulltula Spirit
Termina Field South Wall Soft Soil                 -> Swamp Skulltula Spirit
Termina Field Stump Chest                          -> Green Rupee
Termina Field Stump Soft Soil                      -> Milk
Termina Field Underwater Chest                     -> Heart Container
Termina Grotto Cow #1                              -> Woodfall Stray Fairy
Termina Grotto Cow #2                              -> Green Potion

 Road to Southern Swamp
Path to Swamp Grotto                               -> Large Magic Jar
Path to Swamp Tree                                 -> Swamp Skulltula Spirit
Snowhead Map Purchase                              -> Oath to Order**
Swamp Archery #1                                   -> Woodfall Small Key*
Swamp Archery #2                                   -> Stone Tower Compass
Woodfall Map Purchase                              -> Heart Container

 Southern Swamp
Boat Archery                                       -> Green Rupee
Cleared Swamp Owl Grass                            -> Swamp Skulltula Spirit
Kotake                                             -> Fire Arrow**
Kotake Mushroom Sale                               -> 10 Bombchu
Koume                                              -> Stone Tower Stray Fairy
Mystery Woods Grotto                               -> Deku Stick
Near Swamp Spider House Grotto                     -> Red Rupee
Pictograph Contest Good Photo                      -> Piece of Heart
Pictograph Contest Standard Photo                  -> Bottle with Red Potion
Pictograph Contest Winner                          -> Purple Rupee
Southern Swamp Owl Grass                           -> Piece of Heart
Swamp Music Statue                                 -> Blue Rupee
Swamp Scrub Purchase                               -> Small Magic Jar
Swamp Scrub Trade                                  -> 5 Bombchu
Swamp Skulltula Gold Room Hive                     -> Green Rupee
Swamp Skulltula Gold Room Near Ceiling             -> Woodfall Stray Fairy
Swamp Skulltula Gold Room Pillar                   -> Snowhead Stray Fairy*
Swamp Skulltula Gold Room Wall                     -> Ocean Skulltula Spirit
Swamp Skulltula Main Room Jar                      -> Swamp Skulltula Spirit
Swamp Skulltula Main Room Lower Left Soft Soil     -> Red Rupee
Swamp Skulltula Main Room Lower Right Soft Soil    -> Piece of Heart
Swamp Skulltula Main Room Near Ceiling             -> Moon's Tear
Swamp Skulltula Main Room Pillar                   -> Snowhead Stray Fairy*
Swamp Skulltula Main Room Upper Pillar             -> Ocean Title Deed
Swamp Skulltula Main Room Upper Soft Soil          -> Swamp Skulltula Spirit
Swamp Skulltula Main Room Water                    -> Ocean Skulltula Spirit
Swamp Skulltula Monument Room Crate 1              -> Largest Quiver*
Swamp Skulltula Monument Room Crate 2              -> Great Bay Map
Swamp Skulltula Monument Room Lower Wall           -> Woodfall Stray Fairy
Swamp Skulltula Monument Room On Monument          -> Red Potion
Swamp Skulltula Monument Room Torch                -> Great Bay Stray Fairy
Swamp Skulltula Pot Room Behind Vines              -> 10 Arrows
Swamp Skulltula Pot Room Hive 1                    -> Ocean Skulltula Spirit
Swamp Skulltula Pot Room Hive 2                    -> Ocean Skulltula Spirit
Swamp Skulltula Pot Room Jar                       -> Snowhead Stray Fairy*
Swamp Skulltula Pot Room Pot 1                     -> 10 Deku Nuts
Swamp Skulltula Pot Room Pot 2                     -> Green Rupee
Swamp Skulltula Pot Room Wall                      -> Circus Leader's Mask
Swamp Skulltula Tree Room Grass 1                  -> Bombers' Notebook
Swamp Skulltula Tree Room Grass 2                  -> Land Title Deed
Swamp Skulltula Tree Room Hive                     -> Red Potion
Swamp Skulltula Tree Room Tree 1                   -> Red Rupee
Swamp Skulltula Tree Room Tree 2                   -> Snowhead Stray Fairy*
Swamp Skulltula Tree Room Tree 3                   -> Swamp Skulltula Spirit
Swamp Spider House Gold Room Soft Soil             -> Goron Mask**
Swamp Spider House Reward                          -> Piece of Heart
Swamp Spider House Rock Soft Soil                  -> Bombchu
Swamp Tourist Center Roof                          -> Piece of Heart
